GEOID,NAME,year,employment_over_16,employment_over_16_moe,unemployment_over_16,unemployment_over_16_moe,employment_20_to_64,employment_20_to_64_moe,unemployment_20_to_64,unemployment_20_to_64_moe,below_poverty,below_poverty_moe,earnings_16_older_total,earnings_16_older_total_moe,earnings_16_older_median,earnings_16_older_median_moe,earnings_25_older_total,earnings_25_older_total_moe,earnings_25_older_less_hs,earnings_25_older_less_hs_moe,earnings_25_older_hs_grad,earnings_25_older_hs_grad_moe,earnings_25_older_some_college,earnings_25_older_some_college_moe,earnings_25_older_bachelors,earnings_25_older_bachelors_moe,earnings_25_older_graduate,earnings_25_older_graduate_moe,median_household_income,median_household_income_moe,income_less_than_10k,income_less_than_10k_moe,income_10k_14999,income_10k_14999_moe,income_15k_24999,income_15k_24999_moe,income_25k_34999,income_25k_34999_moe,income_35K_49999,income_35K_49999_moe,income_50K_74999,income_50K_74999_moe,income_75K_99999,income_75K_99999_moe,income_100K_149999,income_100K_149999_moe,income_150K_199999,income_150K_199999_moe,income_200K_more,income_200K_more_moe,total_pop,total_pop_moe,race_white,race_white_moe,race_black,race_black_moe,race_american_indian,race_american_indian_moe,race_asian,race_asian_moe,race_native_hawaiian,race_native_hawaiian_moe,race_hispanic,race_hispanic_moe,race_other,race_other_moe,race_two_more,race_two_more_moe,family_children_total,family_children_total_moe,family_married_parent_perc,family_single_parent_perc,family_children_nonfamily_perc,family_nonfamily_household_perc,education_less_hs,education_hs_grad,education_assoc_some_college,education_bachelors_or_higher,disability,disability_moe,housing_occupied_total,owner_occupied_housing_total,renter_occupied_housing_total,owner_occupied_housing_perc,renter_occupied_housing_perc,affordable_housing_own_total,affordable_housing_own_perc,affordable_housing_rent_total,affordable_housing_rent_perc,affordable_housing_all_perc,affordable_housing_less_20k,affordable_housing_20k_34k,affordable_housing_35k_49k,affordable_housing_50k_74k,affordable_housing_more_75k
41027950100,"Census Tract 9501, Hood River County, Oregon",2018,60.2,5.4,4.5,2.8,76.4,5,4.6,3.1,15,7.4,2287,342,24803,5495,27319,5539,23523,9626,23875,13953,26250,9290,28837,8505,76591,52801,54049,9068,3,1.9,2.1,1.7,8.7,4.4,9.3,4.1,21.5,7,19,6.3,11,4.8,16.1,5.7,7.1,4.8,2.2,1.5,4345,498,89.6,5.9,0.3,0.5,1.1,1,2.3,1.3,0,0.7,27.9,9.3,5.2,5.6,1.4,1.4,1060,230,87.5471698113208,12.4528301886792,0,11.7647058823529,20.0980392156863,24.4397759103642,34.5588235294118,20.9033613445378,13.9,3.2,1361,967,394,71.0506980161646,28.9493019838354,809,83.6608066184075,178,45.1776649746193,72.5202057310801,22.463768115942,49.645390070922,52.901023890785,92.2480620155039,99.3951612903226
41027950200,"Census Tract 9502, Hood River County, Oregon",2018,64.9,4.5,5.5,2.6,81.1,5.7,4.3,2.4,7.2,3.9,4065,361,37885,5469,41893,7314,25667,4344,40091,10148,35273,10789,49151,7129,82656,34150,74638,9128,1.6,1.5,5.1,4.1,2.8,2.2,12.2,5.6,8.2,3.5,20.3,5.3,19.6,7,13.1,4.4,6.9,3.3,10.3,4.1,6972,513,87.7,4.9,1.1,1.1,0.6,0.7,2.9,1.4,0,0.5,20.9,4.7,5.1,4.2,2.7,1.8,1411,283,67.3281360737066,30.1913536498937,2.48051027639972,20.6699824458748,12.0424084816963,17.8235647129426,31.5063012602521,38.627725545109,6.5,2,2819,2118,701,75.1330258957077,24.8669741042923,1667,78.7063267233239,283,40.3708987161198,69.1734657680028,54.7445255474453,32.0099255583127,67.8260869565217,62.7777777777778,92.8041543026706
41027950300,"Census Tract 9503, Hood River County, Oregon",2018,64.3,4.7,0.4,0.9,79.7,5.6,0.4,1,13.5,6,3137,275,34080,5848,39484,7827,19565,12556,41131,20231,32664,7084,44000,23226,61597,11029,51667,16325,5,4.6,7.5,3.8,9.6,5,14,4.6,11.9,5.7,15.8,5,10.3,4.5,16.5,6,4.6,2.8,4.8,2.5,5915,271,92.4,4.2,0.3,0.6,0,0.5,0.5,0.5,0,0.5,20,5.3,2.7,3.3,4.1,2.5,1461,256,75.9069130732375,24.0930869267625,0,21.9770822644091,11.3731269958241,21.7636944239745,23.5568656349791,43.3063129452223,10.4,3.7,2602,1317,1285,50.6149116064566,49.3850883935434,1045,79.3470007593015,717,55.7976653696498,67.71714066103,44.6153846153846,32.7669902912621,65.6957928802589,79.3187347931874,95.0106157112527
41027950400,"Census Tract 9504, Hood River County, Oregon",2018,64.8,3.9,6,3.3,76.3,4.9,6.1,3.6,6,3.3,3239,363,24915,2830,28313,5780,23431,3929,27950,7891,34450,13390,48289,10358,44053,18289,62066,5496,0.5,0.8,0.8,1,4.7,2.7,12.7,6,16.2,6.3,27.6,6.4,12.4,4.7,12.5,4.6,6.1,2.9,6.5,3.4,5899,537,77.3,7.9,0.2,0.5,1.2,1,0.4,0.4,0.1,0.1,58.1,4.7,13.5,6.7,7.4,5.8,1591,269,83.2809553739786,15.7762413576367,0.942803268384664,10.464904284412,36.0651214128035,22.6545253863135,24.0618101545254,17.2185430463576,9.5,3,1757,1236,521,70.3471826977803,29.6528173022197,931,75.3236245954693,178,34.1650671785029,63.118952760387,78.5714285714286,45.3038674033149,73.2984293193717,67.8651685393258,91.6943521594684
41027,"Hood River County, Oregon",2018,63.9,2,4.2,1.2,78.7,2.7,3.8,1.3,10,2.6,12728,347,30775,1956,34960,3218,23413,3339,33591,4029,32063,4016,47586,6817,62929,12730,62935,4086,2.6,1.5,4.5,1.9,6.2,2,12.4,2.5,13.1,2.6,20.2,2.8,13.9,2.6,14.5,2.7,6.1,1.6,6.6,1.7,23131,,86.6,2.8,0.5,0.2,0.7,0.4,1.5,0.4,0,0.1,31.5,,6.6,2.5,4,1.7,5523,189,78.0735107731306,21.0211841390549,0.905305087814593,16.8918613583985,18.9453376205788,21.1961414790997,28.2508038585209,31.6077170418006,9.7,1.4,8539,5638,2901,66.026466799391,33.973533200609,4452,78.9641716920894,1356,46.7425025853154,68.0173322403092,44.300518134715,36.5875109938435,63.9296187683285,72.8536880290206,94.185360094451
41055950100,"Census Tract 9501, Sherman County, Oregon",2018,51.4,4.3,3.9,2.2,74.9,5.1,4.2,2.4,13.1,3.2,815,74,31088,2105,32104,4682,8750,8030,30461,5634,33750,8605,51667,7093,,,48056,5142,4.5,2.1,7.1,2.6,14.9,4.6,12.8,3.9,13.6,3.6,20.5,4.4,9.4,2.3,9.2,2.9,1.6,1,6.4,3.2,1605,106,95.5,1.7,0.6,0.4,0.9,0.7,0.1,0.2,0.9,1,3.6,2.7,0,2,2.1,1.1,261,59,60.1532567049808,39.0804597701149,0.766283524904215,22.4105461393597,8.64297253634895,32.9563812600969,38.9337641357028,19.4668820678514,22.1,3.2,736,476,260,64.6739130434783,35.3260869565217,378,79.4117647058824,112,43.0769230769231,66.5760869565217,26.7716535433071,48,82.9545454545455,98.6301369863014,97.6608187134503
41055,"Sherman County, Oregon",2018,51.4,4.3,3.9,2.2,74.9,5.1,4.2,2.4,13.1,3.2,815,74,31088,2105,32104,4682,8750,8030,30461,5634,33750,8605,51667,7093,,,48056,5142,4.5,2.1,7.1,2.6,14.9,4.6,12.8,3.9,13.6,3.6,20.5,4.4,9.4,2.3,9.2,2.9,1.6,1,6.4,3.2,1605,106,95.5,1.7,0.6,0.4,0.9,0.7,0.1,0.2,0.9,1,3.6,2.7,0,2,2.1,1.1,261,59,60.1532567049808,39.0804597701149,0.766283524904215,22.4105461393597,8.64297253634895,32.9563812600969,38.9337641357028,19.4668820678514,22.1,3.2,736,476,260,64.6739130434783,35.3260869565217,378,79.4117647058824,112,43.0769230769231,66.5760869565217,26.7716535433071,48,82.9545454545455,98.6301369863014,97.6608187134503
41031940000,"Census Tract 9400, Jefferson County, Oregon",2018,41.6,4.7,24.2,5,48.1,5.5,22.2,5.2,38.5,6.3,1306,143,24613,2401,28962,3312,23611,7095,18750,5314,31889,4579,58438,42627,55250,15947,41061,6288,10.4,4.3,5.1,2.9,19.9,5.7,8.1,3.7,14.8,5.1,18.8,6,14.5,4.7,6,2.5,2,1.8,0.4,0.7,3547,236,5.5,1.7,0.6,0.7,91.5,2.6,0.1,0.2,0.2,0.4,5.8,2.6,0.5,0.5,1.6,1.9,1211,152,27.5805119735756,72.4194880264244,0,5.10760401721664,18.45,31.8,40,9.75,14.8,3,844,555,289,65.7582938388626,34.2417061611374,461,83.0630630630631,153,52.9411764705882,72.7488151658768,44.7761194029851,73.4848484848485,94.7368421052632,98.7096774193548,92.7374301675978
41031960100,"Census Tract 9601, Jefferson County, Oregon",2018,34.3,5.5,6.3,5.6,38.3,6.7,7.1,6.1,13.2,6.3,989,158,27146,2334,29384,2600,,,22500,19040,29764,4231,,,47153,30620,65388,25079,5.2,4.4,0,5.5,11.5,7.7,14.4,7.8,15.1,8.2,18.8,7.8,16.5,7.5,12.9,7,2.1,3.1,3.5,2.7,2369,310,84.3,5.7,3.4,2.1,4.2,3.4,0,1.4,0,1.4,8.8,6,5.1,5.6,3,2.5,337,108,56.973293768546,43.026706231454,0,11.5112540192926,12.1083377588954,32.8730748805098,36.6436537440255,18.3749336165693,12.6,4.7,575,429,146,74.6086956521739,25.3913043478261,304,70.8624708624709,93,63.6986301369863,69.0434782608696,7.59493670886076,55.6701030927835,96.551724137931,89.6907216494846,82.5870646766169
41031960201,"Census Tract 9602.01, Jefferson County, Oregon",2018,59.2,7.2,10,4.1,71.5,7.5,10.6,4.2,20.7,7.2,1786,272,25782,3323,28511,4738,24250,10114,22679,4861,38419,7219,25571,8978,51667,47853,34350,10501,6.2,4.6,10.8,5.4,16.4,7.1,17.8,7.7,8.6,4.9,12.6,5.2,13.9,6.4,9.7,6.1,3.3,2.3,0.9,1.4,3411,401,77.3,7.8,0,0.9,3.4,3.2,0.3,0.4,0,0.9,40.4,6.6,14.7,7.5,4.3,2.4,838,204,57.9952267303103,42.0047732696897,0,22.5447082966872,20.8649130628622,31.431119037004,28.57779759251,19.1261703076237,17.4,5,1168,565,603,48.3732876712329,51.6267123287671,440,77.8761061946903,276,45.771144278607,61.3013698630137,29.4117647058824,29.7752808988764,89,89.795918367347,100
